cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 50 percent training data.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/79   Step: 1m1s | Tot: 0ms | Loss: 0.635 | Acc: 82.812% (212/256)              
 [>................................................................] 2/79   Step: 2s119ms | Tot: 2s119ms | Loss: 0.651 | Acc: 82.812% (424/512)              
 [=>...............................................................] 3/79   Step: 973ms | Tot: 3s92ms | Loss: 0.672 | Acc: 83.073% (638/768)              
 [==>..............................................................] 4/79   Step: 1s133ms | Tot: 4s226ms | Loss: 0.676 | Acc: 83.203% (852/1024)              
 [===>.............................................................] 5/79   Step: 965ms | Tot: 5s191ms | Loss: 0.662 | Acc: 83.984% (1075/1280)              
 [====>............................................................] 6/79   Step: 964ms | Tot: 6s155ms | Loss: 0.702 | Acc: 83.398% (1281/1536)              
 [====>............................................................] 7/79   Step: 962ms | Tot: 7s118ms | Loss: 0.681 | Acc: 83.817% (1502/1792)              
 [=====>...........................................................] 8/79   Step: 966ms | Tot: 8s85ms | Loss: 0.674 | Acc: 83.789% (1716/2048)              
 [======>..........................................................] 9/79   Step: 1s59ms | Tot: 9s144ms | Loss: 0.667 | Acc: 83.984% (1935/2304)              
 [=======>.........................................................] 10/79   Step: 964ms | Tot: 10s109ms | Loss: 0.655 | Acc: 84.258% (2157/2560)              
 [========>........................................................] 11/79   Step: 978ms | Tot: 11s87ms | Loss: 0.647 | Acc: 84.375% (2376/2816)              
 [=========>.......................................................] 12/79   Step: 961ms | Tot: 12s49ms | Loss: 0.635 | Acc: 84.766% (2604/3072)              
 [=========>.......................................................] 13/79   Step: 1s65ms | Tot: 13s115ms | Loss: 0.629 | Acc: 84.976% (2828/3328)              
 [==========>......................................................] 14/79   Step: 966ms | Tot: 14s81ms | Loss: 0.637 | Acc: 84.821% (3040/3584)              
 [===========>.....................................................] 15/79   Step: 973ms | Tot: 15s55ms | Loss: 0.630 | Acc: 84.948% (3262/3840)              
 [============>....................................................] 16/79   Step: 970ms | Tot: 16s25ms | Loss: 0.619 | Acc: 85.083% (3485/4096)              
 [=============>...................................................] 17/79   Step: 968ms | Tot: 16s993ms | Loss: 0.615 | Acc: 85.041% (3701/4352)              
 [=============>...................................................] 18/79   Step: 1s67ms | Tot: 18s61ms | Loss: 0.614 | Acc: 85.026% (3918/4608)              
 [==============>..................................................] 19/79   Step: 982ms | Tot: 19s43ms | Loss: 0.608 | Acc: 85.115% (4140/4864)              
 [===============>.................................................] 20/79   Step: 965ms | Tot: 20s9ms | Loss: 0.614 | Acc: 84.902% (4347/5120)              
 [================>................................................] 21/79   Step: 989ms | Tot: 20s999ms | Loss: 0.615 | Acc: 84.914% (4565/5376)              
 [=================>...............................................] 22/79   Step: 1s81ms | Tot: 22s80ms | Loss: 0.618 | Acc: 84.837% (4778/5632)              
 [==================>..............................................] 23/79   Step: 962ms | Tot: 23s42ms | Loss: 0.621 | Acc: 84.766% (4991/5888)              
 [==================>..............................................] 24/79   Step: 958ms | Tot: 24s | Loss: 0.618 | Acc: 84.798% (5210/6144)              
 [===================>.............................................] 25/79   Step: 968ms | Tot: 24s969ms | Loss: 0.621 | Acc: 84.797% (5427/6400)              
 [====================>............................................] 26/79   Step: 971ms | Tot: 25s941ms | Loss: 0.615 | Acc: 84.916% (5652/6656)              
 [=====================>...........................................] 27/79   Step: 1s92ms | Tot: 27s33ms | Loss: 0.613 | Acc: 84.954% (5872/6912)              
 [======================>..........................................] 28/79   Step: 960ms | Tot: 27s993ms | Loss: 0.607 | Acc: 85.045% (6096/7168)              
 [=======================>.........................................] 29/79   Step: 967ms | Tot: 28s961ms | Loss: 0.605 | Acc: 85.075% (6316/7424)              
 [=======================>.........................................] 30/79   Step: 962ms | Tot: 29s924ms | Loss: 0.604 | Acc: 85.078% (6534/7680)              
 [========================>........................................] 31/79   Step: 1s78ms | Tot: 31s2ms | Loss: 0.607 | Acc: 84.980% (6744/7936)              
 [=========================>.......................................] 32/79   Step: 968ms | Tot: 31s970ms | Loss: 0.607 | Acc: 84.924% (6957/8192)              
 [==========================>......................................] 33/79   Step: 968ms | Tot: 32s938ms | Loss: 0.603 | Acc: 85.014% (7182/8448)              
 [===========================>.....................................] 34/79   Step: 966ms | Tot: 33s905ms | Loss: 0.600 | Acc: 85.076% (7405/8704)              
 [===========================>.....................................] 35/79   Step: 967ms | Tot: 34s872ms | Loss: 0.600 | Acc: 85.167% (7631/8960)              
 [============================>....................................] 36/79   Step: 1s60ms | Tot: 35s932ms | Loss: 0.598 | Acc: 85.211% (7853/9216)              
 [=============================>...................................] 37/79   Step: 965ms | Tot: 36s898ms | Loss: 0.594 | Acc: 85.251% (8075/9472)              
 [==============================>..................................] 38/79   Step: 966ms | Tot: 37s864ms | Loss: 0.593 | Acc: 85.280% (8296/9728)              
 [===============================>.................................] 39/79   Step: 976ms | Tot: 38s841ms | Loss: 0.593 | Acc: 85.286% (8515/9984)              
 [================================>................................] 40/79   Step: 965ms | Tot: 39s806ms | Loss: 0.589 | Acc: 85.361% (8741/10240)              
 [================================>................................] 41/79   Step: 1s87ms | Tot: 40s894ms | Loss: 0.588 | Acc: 85.385% (8962/10496)              
 [=================================>...............................] 42/79   Step: 974ms | Tot: 41s868ms | Loss: 0.586 | Acc: 85.426% (9185/10752)              
 [==================================>..............................] 43/79   Step: 966ms | Tot: 42s835ms | Loss: 0.581 | Acc: 85.520% (9414/11008)              
 [===================================>.............................] 44/79   Step: 962ms | Tot: 43s797ms | Loss: 0.581 | Acc: 85.502% (9631/11264)              
 [====================================>............................] 45/79   Step: 1s95ms | Tot: 44s892ms | Loss: 0.583 | Acc: 85.417% (9840/11520)              
 [=====================================>...........................] 46/79   Step: 966ms | Tot: 45s858ms | Loss: 0.583 | Acc: 85.403% (10057/11776)              
 [=====================================>...........................] 47/79   Step: 976ms | Tot: 46s835ms | Loss: 0.583 | Acc: 85.389% (10274/12032)              
 [======================================>..........................] 48/79   Step: 977ms | Tot: 47s812ms | Loss: 0.579 | Acc: 85.498% (10506/12288)              
 [=======================================>.........................] 49/79   Step: 965ms | Tot: 48s778ms | Loss: 0.576 | Acc: 85.523% (10728/12544)              
 [========================================>........................] 50/79   Step: 1s75ms | Tot: 49s853ms | Loss: 0.575 | Acc: 85.578% (10954/12800)              
 [=========================================>.......................] 51/79   Step: 980ms | Tot: 50s833ms | Loss: 0.574 | Acc: 85.631% (11180/13056)              
 [=========================================>.......................] 52/79   Step: 962ms | Tot: 51s796ms | Loss: 0.571 | Acc: 85.712% (11410/13312)              
 [==========================================>......................] 53/79   Step: 964ms | Tot: 52s761ms | Loss: 0.569 | Acc: 85.753% (11635/13568)              
 [===========================================>.....................] 54/79   Step: 1s66ms | Tot: 53s827ms | Loss: 0.570 | Acc: 85.720% (11850/13824)              
 [============================================>....................] 55/79   Step: 960ms | Tot: 54s788ms | Loss: 0.569 | Acc: 85.717% (12069/14080)              
 [=============================================>...................] 56/79   Step: 960ms | Tot: 55s748ms | Loss: 0.568 | Acc: 85.756% (12294/14336)              
 [==============================================>..................] 57/79   Step: 961ms | Tot: 56s710ms | Loss: 0.569 | Acc: 85.773% (12516/14592)              
 [==============================================>..................] 58/79   Step: 980ms | Tot: 57s690ms | Loss: 0.567 | Acc: 85.823% (12743/14848)              
 [===============================================>.................] 59/79   Step: 1s63ms | Tot: 58s753ms | Loss: 0.565 | Acc: 85.878% (12971/15104)              
 [================================================>................] 60/79   Step: 969ms | Tot: 59s722ms | Loss: 0.564 | Acc: 85.859% (13188/15360)              
 [=================================================>...............] 61/79   Step: 969ms | Tot: 1m692ms | Loss: 0.563 | Acc: 85.899% (13414/15616)              
 [==================================================>..............] 62/79   Step: 980ms | Tot: 1m1s | Loss: 0.560 | Acc: 85.956% (13643/15872)              
 [===================================================>.............] 63/79   Step: 1s60ms | Tot: 1m2s | Loss: 0.557 | Acc: 86.049% (13878/16128)              
 [===================================================>.............] 64/79   Step: 964ms | Tot: 1m3s | Loss: 0.555 | Acc: 86.096% (14106/16384)              
 [====================================================>............] 65/79   Step: 961ms | Tot: 1m4s | Loss: 0.554 | Acc: 86.118% (14330/16640)              
 [=====================================================>...........] 66/79   Step: 963ms | Tot: 1m5s | Loss: 0.554 | Acc: 86.074% (14543/16896)              
 [======================================================>..........] 67/79   Step: 975ms | Tot: 1m6s | Loss: 0.552 | Acc: 86.112% (14770/17152)              
 [=======================================================>.........] 68/79   Step: 1s67ms | Tot: 1m7s | Loss: 0.551 | Acc: 86.139% (14995/17408)              
 [=======================================================>.........] 69/79   Step: 978ms | Tot: 1m8s | Loss: 0.549 | Acc: 86.175% (15222/17664)              
 [========================================================>........] 70/79   Step: 981ms | Tot: 1m9s | Loss: 0.548 | Acc: 86.205% (15448/17920)              
 [=========================================================>.......] 71/79   Step: 960ms | Tot: 1m10s | Loss: 0.545 | Acc: 86.290% (15684/18176)              
 [==========================================================>......] 72/79   Step: 975ms | Tot: 1m11s | Loss: 0.545 | Acc: 86.290% (15905/18432)              
 [===========================================================>.....] 73/79   Step: 1s85ms | Tot: 1m12s | Loss: 0.546 | Acc: 86.280% (16124/18688)              
 [============================================================>....] 74/79   Step: 961ms | Tot: 1m13s | Loss: 0.544 | Acc: 86.339% (16356/18944)              
 [============================================================>....] 75/79   Step: 865ms | Tot: 1m14s | Loss: 0.543 | Acc: 86.365% (16582/19200)              
 [=============================================================>...] 76/79   Step: 854ms | Tot: 1m15s | Loss: 0.542 | Acc: 86.395% (16809/19456)              
 [==============================================================>..] 77/79   Step: 849ms | Tot: 1m16s | Loss: 0.540 | Acc: 86.419% (17035/19712)              
 [===============================================================>.] 78/79   Step: 958ms | Tot: 1m17s | Loss: 0.539 | Acc: 86.433% (17259/19968)              
 [================================================================>] 79/79   Step: 7s748ms | Tot: 1m24s | Loss: 0.540 | Acc: 86.405% (17281/20000)
 [>................................................................] 1/40   Step: 1s79ms | Tot: 0ms | Loss: 1.120 | Acc: 69.531% (178/256)              
 [=>...............................................................] 2/40   Step: 421ms | Tot: 421ms | Loss: 1.097 | Acc: 72.266% (370/512)              
 [===>.............................................................] 3/40   Step: 417ms | Tot: 838ms | Loss: 1.165 | Acc: 71.094% (546/768)              
 [====>............................................................] 4/40   Step: 586ms | Tot: 1s425ms | Loss: 1.180 | Acc: 71.484% (732/1024)              
 [======>..........................................................] 5/40   Step: 415ms | Tot: 1s840ms | Loss: 1.237 | Acc: 70.000% (896/1280)              
 [========>........................................................] 6/40   Step: 416ms | Tot: 2s257ms | Loss: 1.245 | Acc: 70.247% (1079/1536)              
 [=========>.......................................................] 7/40   Step: 416ms | Tot: 2s673ms | Loss: 1.269 | Acc: 69.866% (1252/1792)              
 [===========>.....................................................] 8/40   Step: 417ms | Tot: 3s90ms | Loss: 1.269 | Acc: 69.873% (1431/2048)              
 [=============>...................................................] 9/40   Step: 415ms | Tot: 3s506ms | Loss: 1.277 | Acc: 69.531% (1602/2304)              
 [==============>..................................................] 10/40   Step: 416ms | Tot: 3s922ms | Loss: 1.281 | Acc: 69.531% (1780/2560)              
 [================>................................................] 11/40   Step: 513ms | Tot: 4s435ms | Loss: 1.291 | Acc: 69.602% (1960/2816)              
 [=================>...............................................] 12/40   Step: 433ms | Tot: 4s869ms | Loss: 1.298 | Acc: 69.564% (2137/3072)              
 [===================>.............................................] 13/40   Step: 415ms | Tot: 5s285ms | Loss: 1.295 | Acc: 69.561% (2315/3328)              
 [=====================>...........................................] 14/40   Step: 416ms | Tot: 5s701ms | Loss: 1.308 | Acc: 69.336% (2485/3584)              
