cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the wcl selected dataset.
load parameters
Now try to run the WCL algorithm
Selected 12258 boundary instances.
Select 70.00 percent samples, 4888 overlapping with the pre-selected boundary samples
The unique selected subset size is: 35367
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/139   Step: 49s781ms | Tot: 0ms | Loss: 0.078 | Acc: 98.047% (251/256)              
 [>................................................................] 2/139   Step: 2s76ms | Tot: 2s76ms | Loss: 0.065 | Acc: 98.438% (504/512)              
 [>................................................................] 3/139   Step: 974ms | Tot: 3s50ms | Loss: 0.058 | Acc: 98.438% (756/768)              
 [=>...............................................................] 4/139   Step: 1s140ms | Tot: 4s191ms | Loss: 0.049 | Acc: 98.828% (1012/1024)              
 [=>...............................................................] 5/139   Step: 966ms | Tot: 5s157ms | Loss: 0.051 | Acc: 98.672% (1263/1280)              
 [==>..............................................................] 6/139   Step: 964ms | Tot: 6s122ms | Loss: 0.048 | Acc: 98.828% (1518/1536)              
 [==>..............................................................] 7/139   Step: 967ms | Tot: 7s90ms | Loss: 0.053 | Acc: 98.717% (1769/1792)              
 [===>.............................................................] 8/139   Step: 964ms | Tot: 8s54ms | Loss: 0.053 | Acc: 98.779% (2023/2048)              
 [===>.............................................................] 9/139   Step: 1s66ms | Tot: 9s121ms | Loss: 0.058 | Acc: 98.741% (2275/2304)              
 [====>............................................................] 10/139   Step: 967ms | Tot: 10s89ms | Loss: 0.056 | Acc: 98.750% (2528/2560)              
 [====>............................................................] 11/139   Step: 964ms | Tot: 11s53ms | Loss: 0.053 | Acc: 98.864% (2784/2816)              
 [=====>...........................................................] 12/139   Step: 975ms | Tot: 12s28ms | Loss: 0.053 | Acc: 98.893% (3038/3072)              
 [=====>...........................................................] 13/139   Step: 1s70ms | Tot: 13s98ms | Loss: 0.054 | Acc: 98.888% (3291/3328)              
 [======>..........................................................] 14/139   Step: 973ms | Tot: 14s71ms | Loss: 0.053 | Acc: 98.884% (3544/3584)              
 [======>..........................................................] 15/139   Step: 974ms | Tot: 15s46ms | Loss: 0.053 | Acc: 98.854% (3796/3840)              
 [=======>.........................................................] 16/139   Step: 981ms | Tot: 16s28ms | Loss: 0.052 | Acc: 98.901% (4051/4096)              
 [=======>.........................................................] 17/139   Step: 974ms | Tot: 17s2ms | Loss: 0.052 | Acc: 98.897% (4304/4352)              
 [=======>.........................................................] 18/139   Step: 1s68ms | Tot: 18s70ms | Loss: 0.053 | Acc: 98.872% (4556/4608)              
 [========>........................................................] 19/139   Step: 974ms | Tot: 19s45ms | Loss: 0.052 | Acc: 98.890% (4810/4864)              
 [========>........................................................] 20/139   Step: 970ms | Tot: 20s15ms | Loss: 0.052 | Acc: 98.867% (5062/5120)              
 [=========>.......................................................] 21/139   Step: 964ms | Tot: 20s979ms | Loss: 0.052 | Acc: 98.847% (5314/5376)              
 [=========>.......................................................] 22/139   Step: 980ms | Tot: 21s960ms | Loss: 0.052 | Acc: 98.881% (5569/5632)              
 [==========>......................................................] 23/139   Step: 1s103ms | Tot: 23s64ms | Loss: 0.052 | Acc: 98.845% (5820/5888)              
 [==========>......................................................] 24/139   Step: 965ms | Tot: 24s29ms | Loss: 0.052 | Acc: 98.877% (6075/6144)              
 [===========>.....................................................] 25/139   Step: 972ms | Tot: 25s2ms | Loss: 0.052 | Acc: 98.875% (6328/6400)              
 [===========>.....................................................] 26/139   Step: 967ms | Tot: 25s969ms | Loss: 0.051 | Acc: 98.903% (6583/6656)              
 [============>....................................................] 27/139   Step: 1s65ms | Tot: 27s34ms | Loss: 0.051 | Acc: 98.915% (6837/6912)              
 [============>....................................................] 28/139   Step: 968ms | Tot: 28s2ms | Loss: 0.052 | Acc: 98.884% (7088/7168)              
 [=============>...................................................] 29/139   Step: 967ms | Tot: 28s970ms | Loss: 0.051 | Acc: 98.882% (7341/7424)              
 [=============>...................................................] 30/139   Step: 971ms | Tot: 29s942ms | Loss: 0.052 | Acc: 98.854% (7592/7680)              
 [==============>..................................................] 31/139   Step: 971ms | Tot: 30s913ms | Loss: 0.052 | Acc: 98.866% (7846/7936)              
 [==============>..................................................] 32/139   Step: 1s93ms | Tot: 32s7ms | Loss: 0.053 | Acc: 98.840% (8097/8192)              
