cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the wcl selected dataset.
load parameters
Now try to run the WCL algorithm
Selected 12258 boundary instances.
Select 90.00 percent samples, 8775 overlapping with the pre-selected boundary samples
The unique selected subset size is: 39480
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/155   Step: 42s99ms | Tot: 0ms | Loss: 0.446 | Acc: 85.156% (218/256)              
 [>................................................................] 2/155   Step: 1s953ms | Tot: 1s953ms | Loss: 0.472 | Acc: 84.375% (432/512)              
 [>................................................................] 3/155   Step: 993ms | Tot: 2s947ms | Loss: 0.468 | Acc: 84.896% (652/768)              
 [=>...............................................................] 4/155   Step: 1s171ms | Tot: 4s118ms | Loss: 0.459 | Acc: 85.449% (875/1024)              
 [=>...............................................................] 5/155   Step: 980ms | Tot: 5s99ms | Loss: 0.449 | Acc: 86.016% (1101/1280)              
 [==>..............................................................] 6/155   Step: 987ms | Tot: 6s86ms | Loss: 0.450 | Acc: 85.938% (1320/1536)              
 [==>..............................................................] 7/155   Step: 980ms | Tot: 7s66ms | Loss: 0.451 | Acc: 86.049% (1542/1792)              
 [==>..............................................................] 8/155   Step: 980ms | Tot: 8s46ms | Loss: 0.437 | Acc: 86.621% (1774/2048)              
 [===>.............................................................] 9/155   Step: 1s80ms | Tot: 9s127ms | Loss: 0.422 | Acc: 87.109% (2007/2304)              
 [===>.............................................................] 10/155   Step: 980ms | Tot: 10s108ms | Loss: 0.419 | Acc: 87.148% (2231/2560)              
 [====>............................................................] 11/155   Step: 980ms | Tot: 11s88ms | Loss: 0.414 | Acc: 87.358% (2460/2816)              
 [====>............................................................] 12/155   Step: 978ms | Tot: 12s67ms | Loss: 0.404 | Acc: 87.565% (2690/3072)              
 [=====>...........................................................] 13/155   Step: 1s89ms | Tot: 13s157ms | Loss: 0.400 | Acc: 87.710% (2919/3328)              
 [=====>...........................................................] 14/155   Step: 998ms | Tot: 14s155ms | Loss: 0.395 | Acc: 87.695% (3143/3584)              
 [=====>...........................................................] 15/155   Step: 979ms | Tot: 15s134ms | Loss: 0.391 | Acc: 87.969% (3378/3840)              
 [======>..........................................................] 16/155   Step: 982ms | Tot: 16s117ms | Loss: 0.387 | Acc: 88.135% (3610/4096)              
 [======>..........................................................] 17/155   Step: 981ms | Tot: 17s99ms | Loss: 0.384 | Acc: 88.143% (3836/4352)              
 [=======>.........................................................] 18/155   Step: 1s89ms | Tot: 18s188ms | Loss: 0.383 | Acc: 88.173% (4063/4608)              
 [=======>.........................................................] 19/155   Step: 981ms | Tot: 19s169ms | Loss: 0.381 | Acc: 88.220% (4291/4864)              
 [=======>.........................................................] 20/155   Step: 993ms | Tot: 20s163ms | Loss: 0.377 | Acc: 88.398% (4526/5120)              
 [========>........................................................] 21/155   Step: 984ms | Tot: 21s147ms | Loss: 0.374 | Acc: 88.560% (4761/5376)              
 [========>........................................................] 22/155   Step: 1s91ms | Tot: 22s239ms | Loss: 0.370 | Acc: 88.743% (4998/5632)              
 [=========>.......................................................] 23/155   Step: 981ms | Tot: 23s221ms | Loss: 0.364 | Acc: 88.978% (5239/5888)              
 [=========>.......................................................] 24/155   Step: 996ms | Tot: 24s218ms | Loss: 0.358 | Acc: 89.111% (5475/6144)              
 [==========>......................................................] 25/155   Step: 989ms | Tot: 25s208ms | Loss: 0.354 | Acc: 89.219% (5710/6400)              
 [==========>......................................................] 26/155   Step: 981ms | Tot: 26s189ms | Loss: 0.352 | Acc: 89.318% (5945/6656)              
 [==========>......................................................] 27/155   Step: 1s129ms | Tot: 27s319ms | Loss: 0.346 | Acc: 89.511% (6187/6912)              
 [===========>.....................................................] 28/155   Step: 982ms | Tot: 28s301ms | Loss: 0.342 | Acc: 89.607% (6423/7168)              
 [===========>.....................................................] 29/155   Step: 983ms | Tot: 29s285ms | Loss: 0.340 | Acc: 89.723% (6661/7424)              
 [============>....................................................] 30/155   Step: 976ms | Tot: 30s262ms | Loss: 0.336 | Acc: 89.896% (6904/7680)              
 [============>....................................................] 31/155   Step: 980ms | Tot: 31s243ms | Loss: 0.334 | Acc: 89.970% (7140/7936)              
 [=============>...................................................] 32/155   Step: 1s85ms | Tot: 32s329ms | Loss: 0.328 | Acc: 90.186% (7388/8192)              
