cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the wcl selected dataset.
load parameters
Now try to run the WCL algorithm
Selected 3069 boundary instances.
Select 70.00 percent samples, 1033 overlapping with the pre-selected boundary samples
The unique selected subset size is: 30036
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/118   Step: 43s410ms | Tot: 0ms | Loss: 0.166 | Acc: 93.359% (239/256)              
 [>................................................................] 2/118   Step: 1s969ms | Tot: 1s969ms | Loss: 0.163 | Acc: 93.555% (479/512)              
 [=>...............................................................] 3/118   Step: 967ms | Tot: 2s937ms | Loss: 0.143 | Acc: 94.531% (726/768)              
 [=>...............................................................] 4/118   Step: 1s131ms | Tot: 4s68ms | Loss: 0.147 | Acc: 94.727% (970/1024)              
 [==>..............................................................] 5/118   Step: 960ms | Tot: 5s29ms | Loss: 0.156 | Acc: 94.688% (1212/1280)              
 [==>..............................................................] 6/118   Step: 964ms | Tot: 5s994ms | Loss: 0.154 | Acc: 94.857% (1457/1536)              
 [===>.............................................................] 7/118   Step: 960ms | Tot: 6s954ms | Loss: 0.152 | Acc: 94.643% (1696/1792)              
 [===>.............................................................] 8/118   Step: 958ms | Tot: 7s913ms | Loss: 0.148 | Acc: 94.824% (1942/2048)              
 [====>............................................................] 9/118   Step: 1s80ms | Tot: 8s993ms | Loss: 0.147 | Acc: 94.922% (2187/2304)              
 [====>............................................................] 10/118   Step: 959ms | Tot: 9s953ms | Loss: 0.140 | Acc: 95.117% (2435/2560)              
 [=====>...........................................................] 11/118   Step: 957ms | Tot: 10s911ms | Loss: 0.141 | Acc: 95.099% (2678/2816)              
 [======>..........................................................] 12/118   Step: 956ms | Tot: 11s867ms | Loss: 0.140 | Acc: 95.085% (2921/3072)              
 [======>..........................................................] 13/118   Step: 960ms | Tot: 12s828ms | Loss: 0.140 | Acc: 95.072% (3164/3328)              
 [=======>.........................................................] 14/118   Step: 1s64ms | Tot: 13s892ms | Loss: 0.136 | Acc: 95.229% (3413/3584)              
 [=======>.........................................................] 15/118   Step: 962ms | Tot: 14s854ms | Loss: 0.137 | Acc: 95.156% (3654/3840)              
 [========>........................................................] 16/118   Step: 961ms | Tot: 15s816ms | Loss: 0.138 | Acc: 95.166% (3898/4096)              
 [========>........................................................] 17/118   Step: 980ms | Tot: 16s797ms | Loss: 0.138 | Acc: 95.221% (4144/4352)              
 [=========>.......................................................] 18/118   Step: 1s72ms | Tot: 17s870ms | Loss: 0.136 | Acc: 95.312% (4392/4608)              
 [=========>.......................................................] 19/118   Step: 962ms | Tot: 18s832ms | Loss: 0.135 | Acc: 95.374% (4639/4864)              
 [==========>......................................................] 20/118   Step: 976ms | Tot: 19s809ms | Loss: 0.136 | Acc: 95.312% (4880/5120)              
 [===========>.....................................................] 21/118   Step: 957ms | Tot: 20s766ms | Loss: 0.134 | Acc: 95.368% (5127/5376)              
 [===========>.....................................................] 22/118   Step: 961ms | Tot: 21s727ms | Loss: 0.133 | Acc: 95.401% (5373/5632)              
 [============>....................................................] 23/118   Step: 1s107ms | Tot: 22s835ms | Loss: 0.131 | Acc: 95.533% (5625/5888)              
 [============>....................................................] 24/118   Step: 957ms | Tot: 23s792ms | Loss: 0.129 | Acc: 95.573% (5872/6144)              
 [=============>...................................................] 25/118   Step: 962ms | Tot: 24s754ms | Loss: 0.130 | Acc: 95.562% (6116/6400)              
 [=============>...................................................] 26/118   Step: 961ms | Tot: 25s716ms | Loss: 0.129 | Acc: 95.628% (6365/6656)              
 [==============>..................................................] 27/118   Step: 1s62ms | Tot: 26s779ms | Loss: 0.128 | Acc: 95.660% (6612/6912)              
 [==============>..................................................] 28/118   Step: 952ms | Tot: 27s732ms | Loss: 0.131 | Acc: 95.564% (6850/7168)              
 [===============>.................................................] 29/118   Step: 963ms | Tot: 28s695ms | Loss: 0.129 | Acc: 95.676% (7103/7424)              
 [===============>.................................................] 30/118   Step: 979ms | Tot: 29s675ms | Loss: 0.127 | Acc: 95.742% (7353/7680)              
 [================>................................................] 31/118   Step: 959ms | Tot: 30s635ms | Loss: 0.126 | Acc: 95.817% (7604/7936)              
 [=================>...............................................] 32/118   Step: 1s65ms | Tot: 31s700ms | Loss: 0.124 | Acc: 95.886% (7855/8192)              
 [=================>...............................................] 33/118   Step: 956ms | Tot: 32s657ms | Loss: 0.124 | Acc: 95.845% (8097/8448)              
 [==================>..............................................] 34/118   Step: 969ms | Tot: 33s626ms | Loss: 0.125 | Acc: 95.841% (8342/8704)              
 [==================>..............................................] 35/118   Step: 964ms | Tot: 34s591ms | Loss: 0.124 | Acc: 95.904% (8593/8960)              
 [===================>.............................................] 36/118   Step: 963ms | Tot: 35s554ms | Loss: 0.124 | Acc: 95.931% (8841/9216)              
 [===================>.............................................] 37/118   Step: 1s61ms | Tot: 36s615ms | Loss: 0.123 | Acc: 95.967% (9090/9472)              
 [====================>............................................] 38/118   Step: 962ms | Tot: 37s578ms | Loss: 0.123 | Acc: 95.929% (9332/9728)              
 [====================>............................................] 39/118   Step: 961ms | Tot: 38s539ms | Loss: 0.123 | Acc: 95.913% (9576/9984)              
 [=====================>...........................................] 40/118   Step: 975ms | Tot: 39s515ms | Loss: 0.124 | Acc: 95.859% (9816/10240)              
 [======================>..........................................] 41/118   Step: 1s104ms | Tot: 40s619ms | Loss: 0.124 | Acc: 95.856% (10061/10496)              
 [======================>..........................................] 42/118   Step: 955ms | Tot: 41s574ms | Loss: 0.123 | Acc: 95.917% (10313/10752)              
 [=======================>.........................................] 43/118   Step: 955ms | Tot: 42s530ms | Loss: 0.123 | Acc: 95.921% (10559/11008)              
 [=======================>.........................................] 44/118   Step: 957ms | Tot: 43s487ms | Loss: 0.123 | Acc: 95.952% (10808/11264)              
 [========================>........................................] 45/118   Step: 969ms | Tot: 44s456ms | Loss: 0.123 | Acc: 95.981% (11057/11520)              
 [========================>........................................] 46/118   Step: 1s72ms | Tot: 45s529ms | Loss: 0.123 | Acc: 96.009% (11306/11776)              
 [=========================>.......................................] 47/118   Step: 957ms | Tot: 46s486ms | Loss: 0.122 | Acc: 96.036% (11555/12032)              
 [=========================>.......................................] 48/118   Step: 958ms | Tot: 47s444ms | Loss: 0.122 | Acc: 95.996% (11796/12288)              
 [==========================>......................................] 49/118   Step: 955ms | Tot: 48s400ms | Loss: 0.122 | Acc: 96.022% (12045/12544)              
 [==========================>......................................] 50/118   Step: 1s82ms | Tot: 49s483ms | Loss: 0.121 | Acc: 96.094% (12300/12800)              
 [===========================>.....................................] 51/118   Step: 957ms | Tot: 50s440ms | Loss: 0.120 | Acc: 96.117% (12549/13056)              
 [============================>....................................] 52/118   Step: 956ms | Tot: 51s397ms | Loss: 0.118 | Acc: 96.176% (12803/13312)              
 [============================>....................................] 53/118   Step: 959ms | Tot: 52s356ms | Loss: 0.118 | Acc: 96.190% (13051/13568)              
 [=============================>...................................] 54/118   Step: 957ms | Tot: 53s314ms | Loss: 0.118 | Acc: 96.188% (13297/13824)              
 [=============================>...................................] 55/118   Step: 1s60ms | Tot: 54s374ms | Loss: 0.117 | Acc: 96.200% (13545/14080)              
 [==============================>..................................] 56/118   Step: 955ms | Tot: 55s330ms | Loss: 0.118 | Acc: 96.170% (13787/14336)              
 [==============================>..................................] 57/118   Step: 954ms | Tot: 56s285ms | Loss: 0.118 | Acc: 96.190% (14036/14592)              
 [===============================>.................................] 58/118   Step: 968ms | Tot: 57s253ms | Loss: 0.117 | Acc: 96.208% (14285/14848)              
 [===============================>.................................] 59/118   Step: 957ms | Tot: 58s211ms | Loss: 0.117 | Acc: 96.186% (14528/15104)              
 [================================>................................] 60/118   Step: 1s85ms | Tot: 59s296ms | Loss: 0.116 | Acc: 96.204% (14777/15360)              
 [=================================>...............................] 61/118   Step: 958ms | Tot: 1m255ms | Loss: 0.116 | Acc: 96.209% (15024/15616)              
 [=================================>...............................] 62/118   Step: 963ms | Tot: 1m1s | Loss: 0.117 | Acc: 96.195% (15268/15872)              
 [==================================>..............................] 63/118   Step: 958ms | Tot: 1m2s | Loss: 0.117 | Acc: 96.212% (15517/16128)              
 [==================================>..............................] 64/118   Step: 959ms | Tot: 1m3s | Loss: 0.116 | Acc: 96.234% (15767/16384)              
 [===================================>.............................] 65/118   Step: 1s89ms | Tot: 1m4s | Loss: 0.116 | Acc: 96.238% (16014/16640)              
 [===================================>.............................] 66/118   Step: 954ms | Tot: 1m5s | Loss: 0.115 | Acc: 96.254% (16263/16896)              
 [====================================>............................] 67/118   Step: 957ms | Tot: 1m6s | Loss: 0.116 | Acc: 96.240% (16507/17152)              
 [====================================>............................] 68/118   Step: 954ms | Tot: 1m7s | Loss: 0.115 | Acc: 96.266% (16758/17408)              
 [=====================================>...........................] 69/118   Step: 1s83ms | Tot: 1m8s | Loss: 0.115 | Acc: 96.269% (17005/17664)              
 [======================================>..........................] 70/118   Step: 987ms | Tot: 1m9s | Loss: 0.115 | Acc: 96.272% (17252/17920)              
 [======================================>..........................] 71/118   Step: 955ms | Tot: 1m10s | Loss: 0.114 | Acc: 96.297% (17503/18176)              
 [=======================================>.........................] 72/118   Step: 953ms | Tot: 1m11s | Loss: 0.114 | Acc: 96.300% (17750/18432)              
 [=======================================>.........................] 73/118   Step: 952ms | Tot: 1m12s | Loss: 0.113 | Acc: 96.324% (18001/18688)              
 [========================================>........................] 74/118   Step: 1s61ms | Tot: 1m13s | Loss: 0.112 | Acc: 96.352% (18253/18944)              
 [========================================>........................] 75/118   Step: 957ms | Tot: 1m14s | Loss: 0.112 | Acc: 96.370% (18503/19200)              
 [=========================================>.......................] 76/118   Step: 956ms | Tot: 1m15s | Loss: 0.112 | Acc: 96.376% (18751/19456)              
 [=========================================>.......................] 77/118   Step: 959ms | Tot: 1m15s | Loss: 0.112 | Acc: 96.378% (18998/19712)              
